word,concreteness,word_type,word_number
crisis,2.33,abstract,1
CREATION,2.15,abstract,2
loss,2.19,abstract,3
LOGIC,1.72,abstract,4
purpose,1.52,abstract,5
CONFLICT,2.21,abstract,6
February,2.4,abstract,7
ABILITY,1.81,abstract,8
exposure,2.39,abstract,9
TRUTH,1.96,abstract,10
dragon,4.39,concrete,11
WINDOW,4.86,concrete,12
cop,4.3,concrete,13
TAP,4.29,concrete,14
file,4.41,concrete,15
TEXT,4.93,concrete,16
filter,4.59,concrete,17
LUNCH,4.31,concrete,18
food,4.8,concrete,19
EGG,4.97,concrete,20
