word,concreteness,word_type,word_number
status,2.24,abstract,1
INTENT,1.52,abstract,2
duty,2.19,abstract,3
LATTER,2.17,abstract,4
motif,2.45,abstract,5
CONCEPT,1.41,abstract,6
priority,1.76,abstract,7
VICE,2.46,abstract,8
soul,1.86,abstract,9
LUCK,1.33,abstract,10
manager,4.14,concrete,11
BOY,4.76,concrete,12
tie,4.81,concrete,13
DARK,4.29,concrete,14
river,4.89,concrete,15
CARRIER,4.2,concrete,16
troll,4.28,concrete,17
MARK,4.21,concrete,18
wing,4.86,concrete,19
LIBRARY,4.8,concrete,20
