word,length,freq,log_freq,concreteness,pos
speaker,7,16473,9.709,4.69,NN
rice,4,16535,9.713,4.86,NN
creature,8,16556,9.715,4.07,NN
millions,8,16751,9.726,3.59,NN
sword,5,16752,9.726,4.93,NN
disc,4,16844,9.732,4.85,NN
teacher,7,16947,9.738,4.52,NN
analyst,7,16990,9.74,4.23,NN
artist,6,17005,9.741,4.24,NN
jay,3,17005,9.741,3.77,NN
sheet,5,17017,9.742,4.93,NN
bass,4,17075,9.745,4.31,NN
forest,6,17098,9.747,4.76,NN
sister,6,17160,9.75,4,NN
aircraft,8,17225,9.754,4.4,NN
assembly,8,17309,9.759,3.79,NN
queen,5,17473,9.768,4.45,NN
circuit,7,17555,9.773,3.83,NN
desert,6,17569,9.774,4.86,NN
dealer,6,17655,9.779,3.76,NN
football,8,17788,9.786,4.73,NN
delivery,8,17823,9.788,3.69,NN
buyer,5,17902,9.793,4.36,NN
citizen,7,17961,9.796,4.43,NN
angel,5,18184,9.808,3.82,NN
cancer,6,18210,9.81,3.86,NN
diamond,7,18291,9.814,4.89,NN
baseball,8,18372,9.819,4.86,NN
coffee,6,18382,9.819,4.81,NN
camera,6,18427,9.822,5,NN
postage,7,18563,9.829,4.37,NN
combat,6,18625,9.832,3.67,NN
den,3,18869,9.845,4.57,NN
officer,7,18922,9.848,4.8,NN
visa,4,19037,9.854,4.38,NN
bird,4,19070,9.856,5,NN
organ,5,19107,9.858,4.77,NN
factory,7,19414,9.874,4.76,NN
hospital,8,19468,9.877,4.64,NN
daughter,8,19485,9.877,4.79,NN
spleen,6,19535,9.88,4.7,NN
miller,6,19538,9.88,3.88,NN
rod,3,19565,9.881,4.43,NN
pattern,7,19583,9.882,3.92,NN
font,4,19610,9.884,3.93,NN
panel,5,19722,9.889,4.26,NN
weapon,6,19739,9.89,4.76,NN
medicine,8,19795,9.893,4.79,NN
sky,3,19795,9.893,4.45,NN
lotus,5,20082,9.908,4.35,NN
avenue,6,20151,9.911,4,NN
password,8,20193,9.913,3.83,NN
hotel,5,20364,9.922,4.93,NN
glass,5,20768,9.941,4.82,NN
noise,5,20803,9.943,3.52,NN
audience,8,20905,9.948,4.29,NN
lake,4,21614,9.981,4.88,NN
header,6,21960,9.997,3.93,NN
agent,5,22078,10.002,3.61,NN
survey,6,22164,10.006,4.08,NN
contents,8,22548,10.023,3.65,NN
arts,4,22653,10.028,3.75,NN
agency,6,22870,10.038,3.87,NN
writer,6,22933,10.04,4.32,NN
ray,3,23072,10.046,3.57,NN
reader,6,23072,10.046,3.89,NN
archives,8,23186,10.051,3.93,NN
birth,5,23367,10.059,4.46,NN
brother,7,23702,10.073,4.43,NN
dollar,6,23916,10.082,4.93,NN
wood,4,24035,10.087,4.85,NN
county,6,24058,10.088,4.04,NN
provider,8,24078,10.089,3.78,NN
weekend,7,24127,10.091,3.83,NN
clock,5,24496,10.106,5,NN
platform,8,24499,10.106,4.48,NN
Bible,5,24550,10.108,4.61,NN
capital,7,24646,10.112,4.1,NN
beer,4,24708,10.115,4.88,NN
animal,6,24745,10.116,4.61,NN
lab,3,24767,10.117,4.69,NN
guitar,6,24781,10.118,4.9,NN
bell,4,24815,10.119,4.96,NN
poster,6,24836,10.12,4.66,NN
valley,6,24976,10.126,4.72,NN
liver,5,25025,10.128,4.68,NN
goblin,6,25243,10.136,4.38,NN
traffic,7,25455,10.145,4.67,NN
gene,4,25570,10.149,3.59,NN
gas,3,25773,10.157,4.29,NN
lady,4,25980,10.165,4.33,NN
planet,6,26589,10.188,4.58,NN
beach,5,26666,10.191,4.79,NN
owner,5,27130,10.208,3.78,NN
fee,3,27166,10.21,3.89,NN
tree,4,27218,10.212,5,NN
river,5,27274,10.214,4.89,NN
catalog,7,27375,10.217,4.68,NN
battery,7,27473,10.221,4.67,NN
comics,6,27577,10.225,4.77,NN
employer,8,27757,10.231,3.81,NN
metal,5,28116,10.244,4.87,NN
menu,4,28562,10.26,4.67,NN
cache,5,28689,10.264,3.8,NN
journal,7,29244,10.283,4.63,NN
dragon,6,29320,10.286,4.39,NN
nation,6,29567,10.294,3.62,NN
salary,6,30091,10.312,3.69,NN
flight,6,30145,10.314,3.9,NN
payment,7,30487,10.325,3.91,NN
movement,8,30554,10.327,3.63,NN
hill,4,31346,10.353,4.93,NN
forum,5,31556,10.36,4,NN
scene,5,31918,10.371,3.93,NN
leader,6,32758,10.397,3.89,NN
customer,8,32952,10.403,3.82,NN
property,8,33095,10.407,3.9,NN
script,6,33261,10.412,4.72,NN
tool,4,33286,10.413,4.6,NN
China,5,33442,10.418,4.79,NN
hall,4,33443,10.418,4.67,NN
somebody,8,33446,10.418,3.79,NN
army,4,34024,10.435,4.7,NN
mouth,5,34157,10.439,4.74,NN
entry,5,34588,10.451,3.62,NN
mountain,8,34727,10.455,4.96,NN
oil,3,34785,10.457,4.93,NN
primer,6,35025,10.464,3.82,NN
item,4,35168,10.468,4.41,NN
universe,8,35314,10.472,3.85,NN
miles,5,35566,10.479,3.61,NN
director,8,36607,10.508,4.04,NN
sea,3,36736,10.512,4.79,NN
town,4,37149,10.523,4.64,NN
mouse,5,37838,10.541,4.83,NN
ball,4,38502,10.558,5,NN
cat,3,38649,10.562,4.86,NN
wife,4,38746,10.565,4.13,NN
Japan,5,39230,10.577,4.82,NN
engine,6,39577,10.586,4.86,NN
album,5,39796,10.592,4.69,NN
girl,4,40340,10.605,4.85,NN
mother,6,42113,10.648,4.6,NN
congress,8,42314,10.653,3.9,NN
hair,4,42603,10.66,4.97,NN
unit,4,42634,10.66,3.77,NN
boy,3,42823,10.665,4.76,NN
artifact,8,43646,10.684,4.5,NN
path,4,43722,10.686,4.41,NN
son,3,43980,10.691,4.14,NN
island,6,44872,10.712,4.96,NN
editor,6,45222,10.719,4.25,NN
van,3,45556,10.727,4.72,NN
smith,5,45658,10.729,3.81,NN
contract,8,47097,10.76,4.15,NN
church,6,49074,10.801,4.9,NN
device,6,49124,10.802,3.97,NN
length,6,50773,10.835,4.07,NN
blood,5,51801,10.855,4.86,NN
suite,5,52330,10.865,4.16,NN
object,6,52354,10.866,3.66,NN
king,4,52583,10.87,4.1,NN
primates,8,52976,10.878,4.5,NN
folks,5,53604,10.889,3.52,NN
door,4,53813,10.893,4.81,NN
brain,5,54113,10.899,4.69,NN
window,6,54926,10.914,4.86,NN
student,7,56461,10.941,4.92,NN
document,8,57743,10.964,4.41,NN
media,5,58004,10.968,3.57,NN
player,6,58218,10.972,4.15,NN
letter,6,58299,10.973,4.7,NN
food,4,59724,10.997,4.8,NN
manager,7,59800,10.999,4.14,NN
song,4,59801,10.999,4.46,NN
magazine,8,60422,11.009,5,NN
movie,5,61248,11.023,4.59,NN
record,6,61996,11.035,4.15,NN
evidence,8,62334,11.04,3.65,NN
Tom,3,62374,11.041,3.96,NN
art,3,62513,11.043,4.17,NN
package,7,62783,11.047,4.72,NN
child,5,64729,11.078,4.78,NN
apple,5,65844,11.095,5,NN
woman,5,66489,11.105,4.46,NN
road,4,66722,11.108,4.75,NN
client,6,68130,11.129,3.9,NN
driver,6,69007,11.142,4.71,NN
organism,8,76012,11.239,4.16,NN
street,6,76139,11.24,4.75,NN
hardware,8,76178,11.241,4.62,NN
month,5,76300,11.242,4.2,NN
death,5,77796,11.262,3.73,NN
Mike,4,82468,11.32,4.65,NN
guy,3,84152,11.34,4.68,NN
car,3,86253,11.365,4.89,NN
office,6,88401,11.39,4.93,NN
family,6,88710,11.393,4.23,NN
project,7,89569,11.403,3.62,NN
children,8,96102,11.473,4.89,NN
night,5,97524,11.488,4.52,NN
men,3,98321,11.496,4.75,NN
city,4,102007,11.533,4.79,NN
product,7,102292,11.536,4.17,NN
