word,concreteness,word_type,word_number
health,2.28,abstract,1
PEACE,1.62,abstract,2
Monday,2.25,abstract,3
BASIS,1.83,abstract,4
protocol,1.97,abstract,5
HEAVEN,1.81,abstract,6
era,2.24,abstract,7
WAY,2.34,abstract,8
spirit,1.6,abstract,9
FAILURE,2.08,abstract,10
pat,4.16,concrete,11
SHIELD,4.66,concrete,12
hand,4.72,concrete,13
TEACHER,4.52,concrete,14
pin,4.92,concrete,15
PATCH,4.7,concrete,16
site,4.56,concrete,17
BOX,4.9,concrete,18
mint,4.54,concrete,19
GIANT,4.3,concrete,20
