word,concreteness,word_type,word_number
info,2.39,abstract,1
MEMORY,2.38,abstract,2
fiction,2.14,abstract,3
DECISION,2.19,abstract,4
compiler,2.46,abstract,5
MANNER,1.62,abstract,6
effort,2.33,abstract,7
MAX,2.18,abstract,8
ways,2,abstract,9
JOY,2.37,abstract,10
guy,4.68,concrete,11
LOG,4.96,concrete,12
lake,4.88,concrete,13
NOVEL,4.21,concrete,14
fish,5,concrete,15
LUNG,4.82,concrete,16
arm,4.96,concrete,17
SHOP,4.31,concrete,18
diamond,4.89,concrete,19
COURT,4.31,concrete,20
