word,length,freq,log_freq,concreteness,pos
loud,4,"11,931",9.387,3.73,JJ|NN
voting,6,"11,949",9.388,3.29,NN|VB
slot,4,"11,956",9.389,4.45,NN|VB
folk,4,"11,992",9.392,3.57,NN
chat,4,"11,998",9.392,3.66,NN|VB
concert,7,"12,029",9.395,4.35,NN
duke,4,"12,035",9.396,4,NN
academy,7,"12,050",9.397,4.29,NN
height,6,"12,052",9.397,3.86,NN
brass,5,"12,055",9.397,4.7,NN
wake,4,"12,064",9.398,3.11,NN|VB
lawyer,6,"12,105",9.401,4.7,NN
Muslim,6,"12,182",9.408,3.41,NN|JJ
hockey,6,"12,193",9.409,4.31,NN
pipe,4,"12,205",9.41,4.88,NN|VB
mailed,6,"12,226",9.411,3.69,VB
novel,5,"12,250",9.413,4.21,NN
goods,5,"12,257",9.414,4.26,NN
tune,4,"12,260",9.414,3.5,NN|VB
symbol,6,"12,275",9.415,3.11,NN
smile,5,"12,276",9.415,4.5,NN|VB
violent,7,"12,285",9.416,3.1,JJ
jet,3,"12,298",9.417,4.77,NN
pal,3,"12,345",9.421,3.93,NN
ski,3,"12,347",9.421,4.63,NN|VB
raw,3,"12,360",9.422,3.35,JJ|NN
mask,4,"12,361",9.422,4.96,NN|VB
wizard,6,"12,369",9.423,4.43,NN
junk,4,"12,375",9.423,3.88,NN|VB
dress,5,"12,384",9.424,4.93,NN|VB
sphere,6,"12,407",9.426,4.44,NN|RB
vendor,6,"12,408",9.426,4.5,NN
diet,4,"12,432",9.428,3.21,NN|VB
burn,4,"12,496",9.433,4.11,VB|NN
wedding,7,"12,528",9.436,3.92,NN|VB
chuck,5,"12,545",9.437,3.82,VB|NN
visible,7,"12,546",9.437,3.08,JJ
singing,7,"12,561",9.438,4.2,VB|NN
garbage,7,"12,598",9.441,4.69,NN
depth,5,"12,604",9.442,3.11,NN
dancing,7,"12,609",9.442,4.3,NN|VB
spoke,5,"12,637",9.444,3.38,VB|NN
baker,5,"12,645",9.445,4.71,NN
gray,4,"12,665",9.447,3.46,JJ|NN|VB
rape,4,"12,684",9.448,3.61,NN|VB
grey,4,"12,685",9.448,4.11,JJ|NN|VB
expand,6,"12,699",9.449,3.36,VB
stereo,6,"12,719",9.451,4.63,NN
bound,5,"12,725",9.451,3.43,VB|NN
funding,7,"12,763",9.454,3.17,NN|VB
hay,3,"12,769",9.455,4.87,NN
operate,7,"12,776",9.455,3,VB
armed,5,"12,786",9.456,3.6,VB|JJ
robin,5,"12,801",9.457,4.61,NN
hunter,6,"12,844",9.461,4.41,NN
sharp,5,"12,847",9.461,3.86,JJ|NN
kiss,4,"12,848",9.461,4.48,NN|VB
rolling,7,"12,848",9.461,4.04,VB|NN
strings,7,"12,854",9.461,4.75,NN|VB
hind,4,"12,917",9.466,3.96,JJ|NN
bond,4,"12,955",9.469,3.62,NN|VB
dial,4,"12,970",9.47,4.52,NN|VB
graphic,7,"12,979",9.471,3.2,JJ|NN
crowd,5,"12,988",9.472,4.52,NN|VB
chest,5,"13,012",9.474,4.93,NN
launch,6,"13,019",9.474,3.7,NN|VB
dinner,6,"13,031",9.475,4.5,NN
pink,4,"13,066",9.478,3.93,JJ|NN
wine,4,"13,077",9.479,4.79,NN
slave,5,"13,149",9.484,4.38,NN|VB
pot,3,"13,161",9.485,4.81,NN
mess,4,"13,190",9.487,3.9,NN|VB
armor,5,"13,211",9.489,4.76,NN
village,7,"13,243",9.491,4.89,NN
prison,6,"13,247",9.492,4.68,NN
cry,3,"13,252",9.492,4,NN|VB
doc,3,"13,265",9.493,3.68,NN
vampire,7,"13,320",9.497,4.18,NN
falling,7,"13,324",9.497,3.64,VB|NN
fighter,7,"13,334",9.498,3.96,NN
matrix,6,"13,335",9.498,3.11,NN
healthy,7,"13,347",9.499,3.31,JJ
massive,7,"13,351",9.499,3.21,JJ|NN
dual,4,"13,358",9.5,3.07,JJ|NN
naked,5,"13,367",9.501,4.5,JJ
fashion,7,"13,373",9.501,3.43,NN|VB
temple,6,"13,396",9.503,4.53,NN
crystal,7,"13,437",9.506,4.58,NN
laugh,5,"13,449",9.507,4.21,NN|VB
orange,6,"13,483",9.509,4.66,JJ|NN
lung,4,"13,500",9.51,4.82,NN
repair,6,"13,501",9.511,3.32,NN|VB
smooth,6,"13,504",9.511,3.81,JJ|NN|VB
branch,6,"13,544",9.514,4.9,NN|VB
cook,4,"13,551",9.514,4.32,NN|VB
blind,5,"13,559",9.515,4.03,JJ|NN|VB
killer,6,"13,599",9.518,3.31,NN
acid,4,"13,610",9.519,4.25,NN|JJ
desk,4,"13,624",9.52,4.87,NN
fool,4,"13,690",9.524,3.19,NN|VB
vehicle,7,"13,714",9.526,4.64,NN
bright,6,"13,726",9.527,3.92,JJ|NN
Tuesday,7,"13,750",9.529,3.29,NN
finance,7,"13,752",9.529,3.36,NN|VB
jazz,4,"13,759",9.529,3.9,NN
hunting,7,"13,796",9.532,3.96,NN|VB
turkey,6,"13,802",9.533,4.89,NN
suck,4,"13,814",9.533,3.46,VB|NN
cutting,7,"13,819",9.534,4.11,VB|NN
cap,3,"13,881",9.538,4.59,NN|VB
campus,6,"13,903",9.54,4.64,NN
nights,6,"13,905",9.54,4.41,NN
photo,5,"13,910",9.54,4.93,NN
nose,4,"13,919",9.541,4.89,NN|VB
fox,3,"13,959",9.544,4.97,NN|VB
swap,4,"13,962",9.544,3.85,NN|VB
motor,5,"13,981",9.545,4.84,NN|JJ|VB
row,3,"14,013",9.548,3.93,NN|VB
scan,4,"14,016",9.548,3.48,NN|VB
shield,6,"14,024",9.549,4.66,NN|VB
editing,7,"14,060",9.551,3.17,NN|VB
hide,4,"14,077",9.552,3.21,VB|NN
youth,5,"14,084",9.553,3.28,NN
broke,5,"14,085",9.553,3.29,VB|NN|JJ
dirty,5,"14,094",9.554,4.23,JJ|VB|NN
ticket,6,"14,121",9.555,4.7,NN|VB
lane,4,"14,139",9.557,4.66,NN
draft,5,"14,141",9.557,3.15,NN|VB
digest,6,"14,159",9.558,3.07,VB
alcohol,7,"14,209",9.562,4.76,NN
kingdom,7,"14,254",9.565,3.76,NN
thin,4,"14,257",9.565,3.83,JJ|RB|NN|VB
sugar,5,"14,292",9.567,4.87,NN|VB
collect,7,"14,307",9.569,3.34,VB|JJ
sight,5,"14,322",9.57,3.21,NN|VB
clothes,7,"14,338",9.571,4.76,NN
tissue,6,"14,342",9.571,4.93,NN
stood,5,"14,395",9.575,3.41,VB
icon,4,"14,402",9.575,3.46,NN
priest,6,"14,417",9.576,4.77,NN
breath,6,"14,432",9.577,4.36,NN
fed,3,"14,446",9.578,3.19,VB|NN
carrier,7,"14,458",9.579,4.2,NN
formed,6,"14,486",9.581,3.04,VB
dean,4,"14,488",9.581,4.45,NN
drawing,7,"14,502",9.582,4.6,VB|NN
bonus,5,"14,547",9.585,3.04,NN
tip,3,"14,596",9.589,4.5,NN|VB
tube,4,"14,619",9.59,4.82,NN
packet,6,"14,636",9.591,4.46,NN
stack,5,"14,654",9.592,4.3,NN|VB
musical,7,"14,696",9.595,3.72,JJ|NN
nine,4,"14,715",9.597,4.04,minor|NN
postal,6,"14,716",9.597,3.07,JJ|NN
refuse,6,"14,723",9.597,3.04,VB
joint,5,"14,742",9.598,4.37,JJ|NN
rise,4,"14,753",9.599,4.04,NN|VB
lyrics,6,"14,794",9.602,3.86,NN
parent,6,"14,797",9.602,4.56,NN
pet,3,"14,817",9.604,4.71,NN|VB
guest,5,"14,822",9.604,3.83,NN
tone,4,"14,823",9.604,3.07,NN|VB
grade,5,"14,834",9.605,3,NN|VB
neck,4,"14,841",9.605,5,NN|VB
drain,5,"14,860",9.606,4.61,NN|VB
meat,4,"14,861",9.606,4.9,NN
tie,3,"14,878",9.608,4.81,NN|VB|JJ
dice,4,"14,894",9.609,4.86,NN
tongue,6,"14,963",9.613,4.93,NN
egg,3,"14,967",9.614,4.97,NN|VB
lay,3,"15,006",9.616,3.86,VB
element,7,"15,056",9.62,3.63,NN|JJ
adapter,7,"15,074",9.621,3.82,NN
racing,6,"15,076",9.621,4,VB|NN
wed,3,"15,098",9.622,3.11,VB|JJ
mixed,5,"15,134",9.625,3.03,VB|JJ
milk,4,"15,195",9.629,4.92,NN|VB
blank,5,"15,240",9.632,3.12,JJ|NN
wing,4,"15,248",9.632,4.86,NN|VB
crew,4,"15,253",9.633,4.36,NN|VB
salt,4,"15,258",9.633,4.89,NN|VB
mosaic,6,"15,261",9.633,4.26,NN|JJ
pit,3,"15,282",9.634,4.68,NN|VB
flag,4,"15,311",9.636,4.79,NN|VB
gear,4,"15,326",9.637,4.28,NN|VB
hunt,4,"15,346",9.639,3.81,NN|VB
Phoenix,7,"15,367",9.64,4.3,NN
bomb,4,"15,377",9.641,4.84,NN|VB
jersey,6,"15,381",9.641,4.56,NN
marked,6,"15,384",9.641,3.88,VB
sweet,5,"15,494",9.648,4,JJ|NN
protein,7,"15,521",9.65,3.66,NN
treat,5,"15,558",9.652,3.79,VB|NN
pointer,7,"15,566",9.653,4.11,NN
auto,4,"15,581",9.654,4,NN
sector,6,"15,589",9.654,3.41,NN
monster,7,"15,607",9.655,3.72,NN
stable,6,"15,640",9.658,3.77,JJ|NN
trick,5,"15,658",9.659,3.36,NN|VB
portion,7,"15,690",9.661,3.78,NN
fourth,6,"15,701",9.661,3.39,JJ|NN
module,6,"15,712",9.662,3.93,NN|JJ
award,5,"15,755",9.665,4.14,NN|VB
tiny,4,"15,764",9.665,3.11,JJ|NN
column,6,"15,765",9.666,4.48,NN
studio,6,"15,767",9.666,4.55,NN
plug,4,"15,792",9.667,4.64,NN|VB
mom,3,"15,795",9.667,4.4,NN
bin,3,"15,831",9.67,4.72,NN|VB
escape,6,"15,846",9.671,3.34,VB|NN
boat,4,"15,857",9.671,4.93,NN
sport,5,"15,869",9.672,3.48,NN|VB
rear,4,"15,895",9.674,3.59,JJ|NN|VB
folder,6,"15,935",9.676,4.93,NN
camp,4,"15,938",9.676,4.35,NN|VB
paint,5,"15,964",9.678,4.79,NN|VB
hero,4,"15,998",9.68,3.07,NN
pilot,5,"16,024",9.682,4.67,NN|VB
strike,6,"16,025",9.682,4.07,VB|NN
bone,4,"16,063",9.684,4.9,NN|VB
guard,5,"16,067",9.685,4.04,NN|VB
cell,4,"16,077",9.685,4.44,NN
strip,5,"16,096",9.686,3.75,NN|VB
laser,5,"16,120",9.688,4.5,NN
pool,4,"16,200",9.693,4.77,NN|VB
empire,6,"16,228",9.694,3,NN
strand,6,"16,260",9.696,4.1,NN|VB
loop,4,"16,305",9.699,4.26,NN|VB
counter,7,"16,309",9.699,4.17,VB|RB
inch,4,"16,319",9.7,4.37,NN|VB
sub,3,"16,326",9.701,3.46,NN|minor
beast,5,"16,393",9.705,4.63,NN
bag,3,"16,427",9.707,4.9,NN|VB
wet,3,"16,466",9.709,4.46,JJ|NN|VB
speaker,7,"16,473",9.709,4.69,NN
tables,6,"16,525",9.713,4.89,NN|VB
rice,4,"16,535",9.713,4.86,NN
fuel,4,"16,552",9.714,4.3,NN|VB
watched,7,"16,607",9.718,3.14,VB
wire,4,"16,615",9.718,4.72,NN|VB
eating,6,"16,624",9.719,4.14,VB|NN
zip,3,"16,636",9.719,3.5,NN|JJ|VB
gate,4,"16,638",9.719,4.96,NN|VB
smoke,5,"16,648",9.72,4.96,NN|VB
ford,4,"16,671",9.721,4.19,NN|VB
static,6,"16,740",9.726,3.32,JJ|NN
sword,5,"16,752",9.726,4.93,NN
border,6,"16,800",9.729,4.29,NN|VB
fell,4,"16,827",9.731,3.55,VB|NN
disc,4,"16,844",9.732,4.85,NN
senate,6,"16,880",9.734,3.81,NN|JJ
blow,4,"16,920",9.736,3.74,NN|VB
teacher,7,"16,947",9.738,4.52,NN
analyst,7,"16,990",9.74,4.23,NN
artist,6,"17,005",9.741,4.24,NN
jay,3,"17,005",9.741,3.77,NN
sheet,5,"17,017",9.742,4.93,NN
pat,3,"17,025",9.742,4.16,VB|NN|JJ|RB
tested,6,"17,025",9.742,3,VB|JJ
bass,4,"17,075",9.745,4.31,NN
comic,5,"17,078",9.746,4,JJ|NN
forest,6,"17,098",9.747,4.76,NN
sister,6,"17,160",9.75,4,NN
sad,3,"17,183",9.752,3.07,JJ|NN
seat,4,"17,184",9.752,4.78,NN|VB
plot,4,"17,284",9.758,3.14,NN|VB
zone,4,"17,300",9.758,3.07,NN
till,4,"17,332",9.76,4,minor|VB|NN
destroy,7,"17,424",9.766,3.08,VB
eight,5,"17,470",9.768,4.04,minor|NN
queen,5,"17,473",9.768,4.45,NN
tank,4,"17,481",9.769,4.8,NN|VB
golden,6,"17,531",9.772,3.12,JJ|NN
shadow,6,"17,543",9.772,4.54,NN|VB
circuit,7,"17,555",9.773,3.83,NN
partner,7,"17,565",9.774,3.53,NN|VB
desert,6,"17,569",9.774,4.86,NN
dealer,6,"17,655",9.779,3.76,NN
route,5,"17,655",9.779,3.88,NN|VB
royal,5,"17,664",9.779,3.14,JJ|NN
flash,5,"17,727",9.783,3.67,NN|VB
fund,4,"17,735",9.783,3.18,NN|VB
rain,4,"17,801",9.787,4.97,NN|VB
hang,4,"17,803",9.787,3.7,VB|NN
