word,length,freq,log_freq,concreteness,pos
evening,7,18925,9.848,3.26,NN
visa,4,19037,9.854,4.38,NN
bird,4,19070,9.856,5,NN
medium,6,19072,9.856,3,NN
organ,5,19107,9.858,4.77,NN
factory,7,19414,9.874,4.76,NN
spleen,6,19535,9.88,4.7,NN
miller,6,19538,9.88,3.88,NN
rod,3,19565,9.881,4.43,NN
pattern,7,19583,9.882,3.92,NN
storage,7,19600,9.883,3.47,NN
font,4,19610,9.884,3.93,NN
trial,5,19700,9.888,3.07,NN
panel,5,19722,9.889,4.26,NN
weapon,6,19739,9.89,4.76,NN
sky,3,19795,9.893,4.45,NN
August,6,20056,9.906,3.04,NN
lotus,5,20082,9.908,4.35,NN
avenue,6,20151,9.911,4,NN
hotel,5,20364,9.922,4.93,NN
vision,6,20427,9.925,3.39,NN
glass,5,20768,9.941,4.82,NN
noise,5,20803,9.943,3.52,NN
summary,7,21338,9.968,3.03,NN
lake,4,21614,9.981,4.88,NN
header,6,21960,9.997,3.93,NN
agent,5,22078,10.002,3.61,NN
survey,6,22164,10.006,4.08,NN
arts,4,22653,10.028,3.75,NN
agency,6,22870,10.038,3.87,NN
writer,6,22933,10.04,4.32,NN
chapter,7,22942,10.041,3.43,NN
ray,3,23072,10.046,3.57,NN
reader,6,23072,10.046,3.89,NN
disease,7,23168,10.051,3.45,NN
birth,5,23367,10.059,4.46,NN
utility,7,23656,10.071,3.07,NN
brother,7,23702,10.073,4.43,NN
dollar,6,23916,10.082,4.93,NN
wood,4,24035,10.087,4.85,NN
county,6,24058,10.088,4.04,NN
weekend,7,24127,10.091,3.83,NN
virus,5,24356,10.101,3.48,NN
clock,5,24496,10.106,5,NN
Bible,5,24550,10.108,4.61,NN
capital,7,24646,10.112,4.1,NN
beer,4,24708,10.115,4.88,NN
animal,6,24745,10.116,4.61,NN
lab,3,24767,10.117,4.69,NN
guitar,6,24781,10.118,4.9,NN
bell,4,24815,10.119,4.96,NN
poster,6,24836,10.12,4.66,NN
valley,6,24976,10.126,4.72,NN
liver,5,25025,10.128,4.68,NN
goblin,6,25243,10.136,4.38,NN
league,6,25384,10.142,3.46,NN
traffic,7,25455,10.145,4.67,NN
gene,4,25570,10.149,3.59,NN
