word,concreteness,word_type,word_number
reaction,2.41,abstract,1
SAFETY,2.37,abstract,2
instance,1.97,abstract,3
RELIGION,1.71,abstract,4
excuse,2.29,abstract,5
BELIEF,1.19,abstract,6
blues,2.31,abstract,7
LIBERTY,1.85,abstract,8
justice,1.45,abstract,9
SUCCESS,2.21,abstract,10
rise,4.04,concrete,11
OIL,4.93,concrete,12
line,4.5,concrete,13
CRYSTAL,4.58,concrete,14
silicon,4.68,concrete,15
PANEL,4.26,concrete,16
speaker,4.69,concrete,17
MACHINE,4.25,concrete,18
tape,4.9,concrete,19
BIBLE,4.61,concrete,20
